customerid,gender,age,annualincomek,spendingscore1100,state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
1,Male,19,15,39,KS,128,415, 382-4657, no, yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1, False
2,Male,21,15,81,OH,107,415, 371-7191, no, yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1, False
3,Female,20,16,6,NJ,137,415, 358-1921, no, no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0, False
4,Female,23,16,77,OH,84,408, 375-9999, yes, no,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2, False
5,Female,31,17,40,OK,75,415, 330-6626, yes, no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3, False
6,Female,22,17,76,AL,118,510, 391-8027, yes, no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0, False
7,Female,35,18,6,MA,121,510, 355-9993, no, yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3, False
8,Female,23,18,94,MO,147,415, 329-9001, yes, no,0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0, False
9,Male,64,19,3,LA,117,408, 335-4719, no, no,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1, False
10,Female,30,19,72,WV,141,415, 330-8173, yes, yes,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0, False
11,Male,67,19,14,IN,65,415, 329-6603, no, no,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4, True
12,Female,35,19,99,RI,74,415, 344-9403, no, no,0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0, False
13,Female,58,20,15,IA,168,408, 363-1107, no, no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1, False
14,Female,24,20,77,MT,95,510, 394-8006, no, no,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3, False
15,Male,37,20,13,IA,62,415, 366-9238, no, no,0,120.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54,4, False
16,Male,22,20,79,NY,161,415, 351-7269, no, no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4, True
17,Female,35,21,35,ID,85,408, 350-8884, no, yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1, False
18,Male,20,21,66,VT,93,510, 386-2923, no, no,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3, False
19,Male,52,23,29,VA,76,510, 356-2992, no, yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1, False
20,Female,35,23,98,TX,73,415, 373-2782, no, no,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1, False
21,Male,35,24,35,FL,147,415, 396-5800, no, no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0, False
22,Male,25,24,73,CO,77,408, 393-7984, no, no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5, True
23,Female,46,25,5,AZ,130,415, 358-1958, no, no,0,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0, False
24,Male,31,25,73,SC,111,415, 350-2565, no, no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2, False
25,Female,54,28,14,VA,132,510, 343-4696, no, no,0,81.1,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78,0, False
26,Male,29,28,82,NE,174,415, 331-3698, no, no,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3, False
27,Female,45,28,32,WY,57,408, 357-3817, no, yes,39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0, False
28,Male,35,28,61,MT,54,408, 418-6412, no, no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3, False
29,Female,40,29,31,MO,20,415, 353-2630, no, no,0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0, False
30,Female,23,29,87,HI,49,510, 410-7789, no, no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3,1, False
31,Male,60,30,4,IL,142,415, 416-8428, no, no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2, False
32,Female,21,30,73,NH,75,510, 370-3359, no, no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1, False
33,Male,53,33,4,LA,172,408, 383-1121, no, no,0,212,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3, False
34,Male,18,33,92,AZ,12,408, 360-1596, no, no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1, True
35,Female,49,33,14,OK,57,408, 395-2854, no, yes,25,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24,0, False
36,Female,21,33,81,GA,72,415, 362-1407, no, yes,37,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3, False
37,Female,42,34,17,AK,36,408, 341-9764, no, yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0, False
38,Female,30,34,73,MA,78,415, 353-3305, no, no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1, False
39,Female,36,37,26,AK,136,415, 402-1381, yes, yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3, False
40,Female,20,37,75,NJ,149,408, 332-9891, no, no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1, False
41,Female,65,38,35,GA,98,408, 372-9976, no, no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3, False
